data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-03-13,1.20,21.81,79.96,1.50,0,DF,BRASILIA
2023-03-13,6.00,22.68,87.08,0.59,0,GO,GOIANIA
2023-03-13,6.00,25.96,69.75,,0,MT,CUIABA
2023-03-13,0.60,26.32,70.54,1.39,0,ES,VITORIA
2023-03-13,10.60,26.12,86.83,1.02,0,BA,SALVADOR
2023-03-14,11.80,22.35,84.46,0.48,0,GO,GOIANIA
2023-03-14,0.00,21.30,79.38,1.47,0,DF,BRASILIA
2023-03-14,1.80,26.97,78.88,0.95,0,BA,SALVADOR
2023-03-14,0.00,26.31,70.46,1.28,0,ES,VITORIA
2023-03-14,0.00,27.14,66.52,,0,MT,CUIABA
2023-03-14,10.80,25.96,77.67,0.55,0,SC,FLORIANOPOLIS
2023-03-15,8.40,23.14,77.25,0.64,0,GO,GOIANIA
2023-03-15,0.00,27.98,64.95,,0,MT,CUIABA
2023-03-15,0.00,20.81,79.83,1.60,0,DF,BRASILIA
2023-03-15,34.60,26.53,72.29,1.26,0,ES,VITORIA
2023-03-15,18.20,26.17,76.54,0.37,0,SC,FLORIANOPOLIS
2023-03-15,2.40,26.35,78.79,1.03,0,BA,SALVADOR
2023-03-20,3.20,22.20,82.25,0.45,0,GO,GOIANIA
2023-03-20,3.20,25.60,77.47,,0,MT,CUIABA
2023-03-20,0.00,27.13,69.92,0.04,0,SC,FLORIANOPOLIS
2023-03-20,3.80,26.60,81.71,0.80,0,BA,SALVADOR
2023-03-20,19.40,19.40,85.79,1.56,0,DF,BRASILIA
2023-03-20,0.00,26.93,70.96,1.55,0,ES,VITORIA
2023-03-21,0.00,22.44,62.04,3.50,0,MG,BELO HORIZONTE - CERCADINHO
2023-03-21,0.00,27.58,71.33,1.60,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-03-24,0.00,22.16,68.21,2.23,0,DF,BRASILIA
2023-03-24,1.60,26.34,72.60,,0,MT,CUIABA
2023-03-24,8.40,26.40,83.00,1.35,0,BA,SALVADOR
2023-03-24,0.00,24.82,69.12,0.56,0,GO,GOIANIA
2023-03-24,3.00,24.88,80.29,1.21,0,SC,FLORIANOPOLIS
2023-03-24,0.00,26.83,70.38,1.44,0,ES,VITORIA
2023-03-24,0.00,22.18,58.21,4.88,0,MG,BELO HORIZONTE - CERCADINHO
2023-03-24,0.00,27.41,74.33,0.74,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-03-25,0.00,25.47,71.67,0.02,0,SC,FLORIANOPOLIS
2023-03-25,0.00,26.66,72.25,,0,MT,CUIABA
2023-03-25,0.00,22.05,59.79,2.10,0,DF,BRASILIA
2023-03-25,14.40,25.25,92.83,0.81,0,BA,SALVADOR
2023-03-25,0.00,25.23,59.33,0.53,0,GO,GOIANIA
2023-03-25,0.00,27.18,67.42,1.41,0,ES,VITORIA
2023-03-26,0.00,28.83,61.77,,0,MT,CUIABA
2023-03-26,0.00,23.00,57.88,2.00,0,DF,BRASILIA
2023-03-26,0.20,26.35,72.21,0.97,0,SC,FLORIANOPOLIS
2023-03-26,0.00,24.72,60.29,0.62,0,GO,GOIANIA
2023-03-26,0.00,27.52,69.17,1.68,0,ES,VITORIA
2023-03-26,7.80,25.72,90.00,0.69,0,BA,SALVADOR
2023-03-29,0.00,25.52,67.12,0.67,0,GO,GOIANIA
2023-03-29,10.20,25.37,86.12,0.89,0,BA,SALVADOR
2023-03-29,0.00,23.00,64.00,2.56,0,DF,BRASILIA
2023-03-29,9.80,24.99,75.67,1.29,0,SC,FLORIANOPOLIS
2023-03-29,3.80,27.29,71.21,,0,MT,CUIABA
2023-03-29,0.00,26.65,72.04,1.20,0,ES,VITORIA
2023-04-01,0.00,23.43,68.58,3.48,0,SC,FLORIANOPOLIS
2023-04-01,0.00,24.50,64.71,0.75,0,GO,GOIANIA
2023-04-01,0.00,22.96,64.12,1.43,0,DF,BRASILIA
2023-04-01,5.40,27.40,66.96,1.10,0,ES,VITORIA
2023-04-01,0.00,27.49,65.21,,0,MT,CUIABA
2023-04-01,0.60,26.83,77.71,0.82,0,BA,SALVADOR
2023-04-02,0.00,21.93,62.42,7.09,0,MG,BELO HORIZONTE - CERCADINHO
2023-04-02,18.20,23.90,81.92,1.16,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-04-03,14.60,22.48,73.75,1.03,0,GO,GOIANIA
2023-04-03,0.60,19.55,75.08,2.18,0,DF,BRASILIA
2023-04-03,0.00,23.48,64.92,0.65,0,SC,FLORIANOPOLIS
2023-04-03,0.00,25.78,57.42,1.32,0,ES,VITORIA
2023-04-03,0.00,27.72,74.62,1.15,0,BA,SALVADOR
2023-04-03,0.00,27.68,63.83,,0,MT,CUIABA
2023-04-06,4.20,25.25,80.38,0.98,1,ES,VITORIA
2023-04-07,0.20,24.60,85.12,0.30,1,RJ,RIO DE JANEIRO - VILA MILITAR
2023-04-15,0.00,24.52,73.12,0.60,0,GO,GOIANIA
2023-04-15,0.00,22.03,75.46,1.32,0,DF,BRASILIA
2023-04-15,0.00,26.88,73.42,0.74,0,BA,SALVADOR
2023-04-15,0.00,27.02,77.22,,0,MT,CUIABA
2023-04-15,29.40,25.96,76.54,1.03,0,ES,VITORIA
2023-04-15,1.20,21.22,80.46,0.18,0,SC,FLORIANOPOLIS
2023-04-17,0.00,24.95,80.38,0.45,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-04-17,0.20,20.63,67.08,4.80,0,MG,BELO HORIZONTE - CERCADINHO
2023-04-22,0.00,19.55,84.92,3.07,1,DF,BRASILIA
2023-04-23,0.20,17.32,78.96,5.68,0,MG,BELO HORIZONTE - CERCADINHO
2023-04-23,0.00,22.65,74.92,0.89,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-04-24,0.00,22.85,70.58,1.40,1,GO,GOIANIA
2023-04-26,0.00,21.76,68.50,2.18,1,DF,BRASILIA
2023-04-30,0.00,29.38,61.58,,0,MT,CUIABA
2023-04-30,0.00,22.28,74.83,0.74,0,SC,FLORIANOPOLIS
2023-04-30,26.60,19.55,84.67,1.72,0,DF,BRASILIA
2023-04-30,0.00,27.54,80.08,0.95,0,BA,SALVADOR
2023-04-30,6.60,23.49,83.62,0.71,0,ES,VITORIA
2023-04-30,0.00,24.09,70.79,0.77,0,GO,GOIANIA
2023-05-01,0.40,18.98,71.62,5.26,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-01,0.20,23.30,80.67,1.08,1,ES,VITORIA
2023-05-01,0.00,23.71,83.25,0.37,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-04,0.00,20.38,64.38,4.98,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-04,0.00,24.04,81.58,0.33,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-07,0.00,24.02,79.38,0.68,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-07,0.00,18.48,68.38,5.26,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-07,24.20,25.14,89.17,1.39,1,BA,SALVADOR
2023-05-10,0.00,19.30,68.67,3.95,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-10,8.80,22.65,89.62,0.50,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-11,23.00,24.53,94.88,1.72,1,BA,SALVADOR
2023-05-12,0.40,22.38,71.21,0.63,0,GO,GOIANIA
2023-05-12,0.00,17.68,61.67,0.90,0,SC,FLORIANOPOLIS
2023-05-12,6.20,22.94,77.50,0.71,0,ES,VITORIA
2023-05-12,0.20,21.00,69.79,1.38,0,DF,BRASILIA
2023-05-12,0.00,25.99,69.50,,0,MT,CUIABA
2023-05-12,2.40,26.07,87.50,0.72,0,BA,SALVADOR
2023-05-14,0.00,19.66,59.17,1.51,0,DF,BRASILIA
2023-05-14,0.00,20.48,63.54,0.60,0,GO,GOIANIA
2023-05-14,0.00,24.27,59.29,,0,MT,CUIABA
2023-05-14,48.00,25.28,90.12,0.73,0,BA,SALVADOR
2023-05-14,0.00,17.34,70.75,0.09,0,SC,FLORIANOPOLIS
2023-05-14,0.00,23.17,70.33,0.90,0,ES,VITORIA
2023-05-16,0.00,20.10,75.62,1.43,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-16,0.00,19.58,45.00,3.90,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-20,0.20,25.45,70.62,2.74,1,BA,SALVADOR
2023-05-23,0.00,15.78,73.88,6.25,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-23,0.00,21.81,77.96,0.34,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-05-26,0.00,16.47,71.83,6.28,0,MG,BELO HORIZONTE - CERCADINHO
2023-05-26,0.00,22.40,79.50,0.52,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-06-01,0.00,25.15,70.17,1.15,0,MT,CUIABA
2023-06-01,1.40,23.21,77.29,0.95,0,ES,VITORIA
2023-06-01,0.00,26.14,78.33,1.35,0,BA,SALVADOR
2023-06-01,0.20,18.47,84.08,0.48,0,SC,FLORIANOPOLIS
2023-06-01,0.00,22.37,69.62,0.96,0,GO,GOIANIA
2023-06-01,0.00,20.17,72.62,1.58,0,DF,BRASILIA
2023-06-02,41.62,17.13,64.17,6.90,1,MG,BELO HORIZONTE - CERCADINHO
2023-06-02,0.00,25.47,83.25,1.88,1,BA,SALVADOR
2023-06-04,0.40,25.34,73.04,2.39,1,BA,SALVADOR
2023-06-06,0.00,25.45,48.67,0.74,1,MT,CUIABA
2023-06-15,0.00,18.20,67.92,6.22,0,MG,BELO HORIZONTE - CERCADINHO
2023-06-15,0.40,23.14,85.42,0.53,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-06-19,0.40,16.25,71.12,6.90,1,MG,BELO HORIZONTE - CERCADINHO
2023-06-20,0.00,21.13,59.42,0.58,1,GO,GOIANIA
2023-06-23,0.00,20.18,71.29,1.24,0,ES,VITORIA
2023-06-23,10.60,18.48,84.88,0.89,0,SC,FLORIANOPOLIS
2023-06-23,0.00,26.58,47.12,1.25,0,MT,CUIABA
2023-06-23,0.80,25.00,71.12,1.25,0,BA,SALVADOR
2023-06-23,0.00,18.46,59.00,2.18,0,DF,BRASILIA
2023-06-23,0.00,19.57,59.42,0.46,0,GO,GOIANIA
